Model,MAE,MedianAE,RMSE,R2
XGB Tuned,6.727124007955272,4.923029232025146,11.775981815246348,0.0016180887572891933
RF Tuned,6.736668345462748,4.909943188570754,11.792414006378582,-0.001170137112142644
XGB Baseline,6.880481261313083,4.8137044429779055,11.986572714530205,-0.03440949834107121
RF Baseline,7.283236618961219,5.179650000000001,12.198511006493154,-0.07131231165874596
